verb,inf,praet,sg,pl,f,n,m1,m2,m3,count,trans,act.class,type,Sketch,PELCRA,inf+conj,praet+conj,inf+adv,praet+adv
biec,101,189,154,35,4,25,156,0,4,290,intrans,IA,V05,0.00318,0.00046,1,2,3,13
chcieć,477,9328,6026,3302,3078,1005,5234,2,9,9805,trans,IS,V14,0.13022,0.00081,1,277,1,1
chorować,106,104,90,14,13,9,82,0,0,210,intrans,S,V04,0.00161,0.00018,1,4,0,1
chrapać,2,7,5,2,0,0,7,0,0,9,intrans,IA,V09,0.00023,0.00002,0,0,0,0
czytać,973,1171,1060,111,119,27,1024,0,1,2144,trans,WT,V01,0.02962,0.00288,14,16,3,9
dawać,475,975,777,198,285,95,590,0,5,1450,trans,ST,V09,0.00014,0.00158,4,10,1,6
gnić,16,48,38,10,18,6,24,0,0,64,intrans,WT,V10,0.00032,0.00006,0,1,0,0
grać,3079,5022,3242,1780,1226,275,3505,0,16,8101,trans,A,V01,0.03012,0.00485,17,56,60,114
kipieć,2,11,11,0,5,0,6,0,0,13,intrans,IA,V07,0.00018,0.00001,0,0,0,0
kłaść,91,186,106,80,32,13,140,0,1,277,trans,ST,V11,0.00210,0.00029,1,0,0,0
kochać,237,310,294,16,73,8,229,0,0,547,trans,IS,V01,0.01246,0.00156,6,12,3,6
leżeć,282,746,618,128,120,218,405,0,3,1028,intrans,S,V07,0.00934,0.00062,7,14,0,19
malować,216,166,141,25,36,3,127,0,0,382,trans,A,V04,0.00358,0.00052,8,8,2,3
nienawidzić,30,142,141,1,3,1,137,0,1,172,trans,IS,V06,0.00035,0.00015,0,0,0,0
orać,13,17,15,2,1,0,16,0,0,30,trans,WT,V09,0.00029,0.00005,0,1,0,0
otwierać,164,197,174,23,37,4,156,0,0,361,trans,ST,V01,0.00631,0.00060,1,1,2,2
palić,207,208,191,17,14,15,179,0,0,415,trans,BT,V06,0.00489,0.00077,3,8,2,7
pisać,1745,2244,2057,187,275,55,1910,0,4,3989,trans,WT,V09,0.04630,0.00384,20,13,10,32
płakać,436,481,463,18,57,12,412,0,0,917,intrans,IA,V09,0.00296,0.00097,10,7,1,0
pracować,3296,3858,2736,1122,1035,373,2423,0,27,7154,intrans,IA,V04,0.02822,0.00629,51,45,104,114
przywozić,38,23,17,6,6,0,17,0,0,61,trans,P,V06,0.00047,0.00007,0,0,0,0
pukać,49,37,30,7,3,2,32,0,0,86,intrans,M,V01,0.00044,0.00007,1,1,0,0
rąbać,8,10,9,1,0,0,10,0,0,18,trans,ST,V09,0.00013,0.00005,0,0,0,0
siedzieć,697,1175,1055,120,192,33,947,1,2,1872,intrans,IS,V07,0.01140,0.00172,27,24,26,37
spać,367,697,605,92,134,43,519,0,1,1064,intrans,S,V18,0.00674,0.00315,12,13,15,15
spacerować,79,46,40,6,4,2,40,0,0,125,intrans,A,V04,0.00090,0.00019,1,1,0,2
śpiewać,524,457,399,58,96,3,356,0,2,981,trans,BT,V01,0.00519,0.00111,12,13,6,7
strzelać,455,604,574,30,23,2,577,0,2,1059,trans,M,V01,0.00340,0.00102,6,7,3,5
szukać,3062,2972,1992,980,815,93,2056,4,4,6034,trans,A,V01,0.02338,0.00574,12,12,17,19
topnieć,20,28,23,5,7,1,20,0,0,48,intrans,WT,V03,0.00030,0.00005,1,1,0,1
tracić,376,334,251,83,69,16,246,0,3,710,trans,P,V06,0.00683,0.00090,3,3,4,0
trzymać,671,840,731,109,123,20,695,0,2,1511,trans,ST,V01,0.01413,0.00215,6,11,3,4
umierać,275,235,208,27,30,5,200,0,0,510,intrans,ST,V01,0.00276,0.00052,5,4,3,4
widzieć,405,1417,1165,252,218,43,1154,0,2,1822,trans,IS,V07,0.04457,0.00265,2,11,1,10
wisieć,308,318,250,68,112,24,6,0,176,626,intrans,S,V07,0.00236,0.00014,0,1,2,4
zabijać,207,280,258,22,6,2,272,0,0,487,trans,ST,V01,0.00314,0.00059,3,4,1,2
żądać,306,418,317,101,49,10,357,0,2,724,trans,IS,V01,0.00263,0.00110,3,5,2,2
zamawiać,56,38,34,4,5,2,30,0,1,94,trans,ST,V01,0.00023,0.00023,0,1,0,1
zamykać,195,111,92,19,15,5,90,0,1,306,trans,ST,V01,0.00433,0.00049,1,0,1,4
znajdować,441,677,500,177,134,96,22,0,425,1118,trans,P,V04,0.03570,0.00110,4,7,0,3
